bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-001_task-restingstate_bold	0.0011706666666666666	0.00832222775	0	26.06530043630252	1.0423058589075633	0.9968378894957984	0.3522	83331.8594	0.06979391653852285	5	4.166666666666667	3.101548888888889	3.2174844444444446	3.570275555555556	2.5168866666666667	0.0127248	-0.021508481353521347	0.0005815099575556815	120	128	128	45	3.1096622986217515	3.0	2.25	2.25	3.0	112.1389	28.1694	123.5312	19.0	638663.0	0.0	495.0	385.6251	0.8089	1317.4282	5216.2538	5437.0	98617.0	1381.0	7684.0	1748.4125	48.041902294615284
sub-004_task-restingstate_bold	0.007671	0.02769306458333333	0	28.15085851815127	0.9477388738655462	0.9346181610924367	0.3377	628572.1875	0.15618943188641674	37	30.833333333333332	3.311362893797186	3.5322697142857145	3.6981394285714284	2.7036795385344154	0.0319309	-0.01637967862188816	0.004876233637332916	120	128	128	48	2.813444304219835	3.0	2.1875	2.1875	3.000237226486206	125.2479	10.9342	121.1986	8.0	683984.0	0.0	537.0	398.6893	1.1985	1591.1475	6006.937	6151.0	102448.0	1530.0	9239.0	2186.2775	29.054728367947973
sub-037_task-restingstate_bold	0.001471	0.02917128125	0	28.238971839159657	0.854773601092437	0.8662064496638655	0.3725	44564.0547	0.0966499243843202	0	0.0	3.294932761904762	3.374505142857143	3.7189531428571434	2.79134	0.00840152	-0.037661731243133545	-0.009538456797599792	120	128	128	40	2.9706010107293057	3.0	2.1875	2.1875	3.0	44.8471	40.0303	213.5742	27.0	567356.0	0.0	809.0	689.4974	1.0848	1552.0062	5692.8412	5709.0	88004.0	2122.0	8823.0	1921.8224	27.801245033740997
sub-042_task-restingstate_bold	0.00553025	0.01083507775	0	32.096553754705894	1.0764304970588237	1.000161749579832	0.3825	43354.1562	0.13553913144452637	11	9.166666666666666	3.3739041168703756	3.641312	3.763529142857143	2.716871207753984	0.0265235	-0.012426900677382946	0.005788573995232582	120	128	128	40	3.0826580269508446	3.0	2.1875	2.1875	3.000230550765991	187.1025	41.5129	150.9365	28.0	551629.0	0.0	606.0	463.9254	0.7711	1657.7093	5826.8678	5912.0	103731.0	2357.0	8832.0	1917.8162	36.30881482420955
